Sentence Index File 1,Sentence in File 1,Sentence Index File 2,Sentence in File 2,Similarity Score
11,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",73,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",1.0000000000000002
12,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",73,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",1.0000000000000002
13,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",73,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",1.0000000000000002
14,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",73,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",1.0000000000000002
15,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",73,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",1.0000000000000002
16,"Taken together, these results suggest that MIF directly engages in dengue NS1-induced glycocalyx degradation and that targeting MIF may represent a possible therapeutic approach for preventing dengue-induced vascular leakage.",55,These results suggest that MMP-9 induced by NS1-stimulated leukocytes may play an important role in endothelial glycocalyx degradation.,0.2816611439910271
17,DENV NS1 induces endothelial glycocalyx degradation and hyperpermeability via HPA-1 and MMP-9 activation in an MIF-dependent manner.,94,"DENV NS1 induces MIF, HPA-1, MMP-9 and CD138 secretion in mice.",0.4089164413471654
18,DENV NS1 induces endothelial glycocalyx degradation and hyperpermeability via HPA-1 and MMP-9 activation in an MIF-dependent manner.,94,"DENV NS1 induces MIF, HPA-1, MMP-9 and CD138 secretion in mice.",0.4089164413471654
19,DENV NS1 induces endothelial glycocalyx degradation and hyperpermeability via HPA-1 and MMP-9 activation in an MIF-dependent manner.,94,"DENV NS1 induces MIF, HPA-1, MMP-9 and CD138 secretion in mice.",0.4089164413471654
20,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
21,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
22,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",11,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",1.0
23,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",12,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",1.0
24,"The increase in vascular permeability is the primary cause of plasma leakage, which finally causes hypotension and circulatory collapse.",113,"DENV NS1 may bind to the TLR4 of leukocytes, inducing the secretion of cytokines and MMPs, or it may directly bind to endothelial cells, inducing the secretion of HPA-1, both of which can cause glycocalyx degradation and subsequent vascular leakage.",0.192726748621367
25,"The increase in vascular permeability is the primary cause of plasma leakage, which finally causes hypotension and circulatory collapse.",113,"DENV NS1 may bind to the TLR4 of leukocytes, inducing the secretion of cytokines and MMPs, or it may directly bind to endothelial cells, inducing the secretion of HPA-1, both of which can cause glycocalyx degradation and subsequent vascular leakage.",0.192726748621367
26,"An increase in endothelial permeability is frequently associated with the degradation of the endothelial glycocalyx [2, 3].",82,"Because a previous study has indicated that an increase in circulating MMP-9 levels is associated with dengue disease severity [32], we first examined whether NS1 induces MMP-9 secretion.",0.29464168182421996
27,"Under normal physiological conditions, the glycocalyx acts as a barrier that controls numerous physiological processes, especially preventing the adhesion of leucocytes and platelets to the vessel walls [4, 5].",46,These results suggest that MIF acts on both endothelial cells and leukocytes to mediate NS1-induced endothelial hyperpermeability.,0.10854711679719854
28,"Under normal physiological conditions, the glycocalyx acts as a barrier that controls numerous physiological processes, especially preventing the adhesion of leucocytes and platelets to the vessel walls [4, 5].",46,These results suggest that MIF acts on both endothelial cells and leukocytes to mediate NS1-induced endothelial hyperpermeability.,0.10854711679719854
29,"Shedding of the endothelial glycocalyx is related to the activation of a heparan sulfate-specific heparanase, HPA-1",7,"Activated HPA-1 enhances shedding of the transmembrane heparan sulfate proteoglycan syndecan-1 (CD138) and elevates the level of CD138 in the bloodstream [7, 9, 10].",0.323827245709467
30,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
31,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
32,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",11,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",1.0
33,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",12,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",1.0
34,Activated HPA-1 enhances shedding of the transmembrane heparan sulfate proteoglycan syndecan-1 (CD138) and elevates the level of CD138 in the bloodstream,7,"Activated HPA-1 enhances shedding of the transmembrane heparan sulfate proteoglycan syndecan-1 (CD138) and elevates the level of CD138 in the bloodstream [7, 9, 10].",0.9662760964498103
35,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
36,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
37,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",11,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",1.0
38,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",12,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",1.0
39,"In addition, matrix metalloproteinases (MMPs) are capable of digesting many types of extracellular matrix, including the endothelial glycocalyx",107,"In addition, we further demonstrated that both the secretion of HPA-1 and the shedding of CD138 induced by NS1-stimulation of endothelial cells are mediated by MIF.",0.19745295644319208
40,"In addition, matrix metalloproteinases (MMPs) are capable of digesting many types of extracellular matrix, including the endothelial glycocalyx",107,"In addition, we further demonstrated that both the secretion of HPA-1 and the shedding of CD138 induced by NS1-stimulation of endothelial cells are mediated by MIF.",0.19745295644319208
41,"Glycocalyx degradation is strongly associated with severe plasma leakage in dengue patients [13, 14].",82,"Because a previous study has indicated that an increase in circulating MMP-9 levels is associated with dengue disease severity [32], we first examined whether NS1 induces MMP-9 secretion.",0.16533812938350673
42,"Recently, DENV nonstructural protein 1 (NS1) was found to play an important role in the pathogenesis of DENV-induced vascular leakage [15–17].",55,These results suggest that MMP-9 induced by NS1-stimulated leukocytes may play an important role in endothelial glycocalyx degradation.,0.35161950371121176
43,"In addition, NS1 can induce the expression and activation of HPA-1, leading to endothelial glycocalyx degradation and hyperpermeability [18].",68,"In addition, NS1 can induce the expression and activation of HPA-1, leading to endothelial glycocalyx degradation and hyperpermeability [18].",1.0000000000000002
44,"In our previous study, we found that DENV NS1 can increase vascular permeability through macrophage migration inhibitory factor (MIF)-induced autophagy",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0.3227433897438188
45,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
46,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
47,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",11,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",1.0
48,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",12,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",1.0
49,"MIF is a chemokine-like inflammatory cytokine that binds to cell surface receptors (CD74 and/or CXCR2/4/7) and activates downstream signals, such as MAPK/ERK, to modulate inflammatory and immune responses [20–25].",110,"Therefore, it is possible that MIF contributes to the secretion of HPA-1 and MMP-9 via the MAPK/NF-κB pathway.",0.11265526556475297
50,"MIF is a chemokine-like inflammatory cytokine that binds to cell surface receptors (CD74 and/or CXCR2/4/7) and activates downstream signals, such as MAPK/ERK, to modulate inflammatory and immune responses [20–25].",110,"Therefore, it is possible that MIF contributes to the secretion of HPA-1 and MMP-9 via the MAPK/NF-κB pathway.",0.11265526556475297
51,"MIF is a chemokine-like inflammatory cytokine that binds to cell surface receptors (CD74 and/or CXCR2/4/7) and activates downstream signals, such as MAPK/ERK, to modulate inflammatory and immune responses [20–25].",110,"Therefore, it is possible that MIF contributes to the secretion of HPA-1 and MMP-9 via the MAPK/NF-κB pathway.",0.11265526556475297
52,"MIF is a chemokine-like inflammatory cytokine that binds to cell surface receptors (CD74 and/or CXCR2/4/7) and activates downstream signals, such as MAPK/ERK, to modulate inflammatory and immune responses [20–25].",110,"Therefore, it is possible that MIF contributes to the secretion of HPA-1 and MMP-9 via the MAPK/NF-κB pathway.",0.11265526556475297
53,"MIF is a chemokine-like inflammatory cytokine that binds to cell surface receptors (CD74 and/or CXCR2/4/7) and activates downstream signals, such as MAPK/ERK, to modulate inflammatory and immune responses [20–25].",110,"Therefore, it is possible that MIF contributes to the secretion of HPA-1 and MMP-9 via the MAPK/NF-κB pathway.",0.11265526556475297
54,"DENV infection can induce MIF secretion [26, 27], and the concentration of MIF is positively correlated with dengue severity [28].",44,"As MIF is a crucial mediator of NS1-induced vascular leakage and an upstream regulator of MMP-9 [19, 26, 34, 35], we tested whether NS1-induced MMP-9 secretion in leukocytes is also MIF dependent.",0.1744794748025917
55,"Furthermore, DENV infection-induced disease was found to be less severe in MIF knockout (Mif-/-) mice than in normal mice [29].",10,"Furthermore, DENV infection-induced disease was found to be less severe in MIF knockout (Mif  ) mice than in normal mice [29].",1.0
56,"However, it is unclear whether MIF is directly involved in NS1-induced glycocalyx degradation.",108,"However, the mechanism of how MIF causes HPA-1 and MMP-9 secretion is still unclear.",0.35825454969284276
57,"To address this question, we studied the effects of NS1 on the secretion of MIF, HPA-1, MMP-9, and CD138 both in vitro and in vivo.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.32044378248697547
58,"To address this question, we studied the effects of NS1 on the secretion of MIF, HPA-1, MMP-9, and CD138 both in vitro and in vivo.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.32044378248697547
59,"To address this question, we studied the effects of NS1 on the secretion of MIF, HPA-1, MMP-9, and CD138 both in vitro and in vivo.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.32044378248697547
60,"To address this question, we studied the effects of NS1 on the secretion of MIF, HPA-1, MMP-9, and CD138 both in vitro and in vivo.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.32044378248697547
61,"Most importantly, the NS1-induced increases in HPA-1, MMP-9, and CD138 were all inhibited in the presence of MIF inhibitors or antibodies both in vitro and in vivo, indicating that NS1-induced MIF secretion may play an important role in the pathogenesis of DENV NS1-induced glycocalyx degradation and vascular leakage.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.4510587163203927
62,"Most importantly, the NS1-induced increases in HPA-1, MMP-9, and CD138 were all inhibited in the presence of MIF inhibitors or antibodies both in vitro and in vivo, indicating that NS1-induced MIF secretion may play an important role in the pathogenesis of DENV NS1-induced glycocalyx degradation and vascular leakage.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.4510587163203927
63,"Most importantly, the NS1-induced increases in HPA-1, MMP-9, and CD138 were all inhibited in the presence of MIF inhibitors or antibodies both in vitro and in vivo, indicating that NS1-induced MIF secretion may play an important role in the pathogenesis of DENV NS1-induced glycocalyx degradation and vascular leakage.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.4510587163203927
64,"Most importantly, the NS1-induced increases in HPA-1, MMP-9, and CD138 were all inhibited in the presence of MIF inhibitors or antibodies both in vitro and in vivo, indicating that NS1-induced MIF secretion may play an important role in the pathogenesis of DENV NS1-induced glycocalyx degradation and vascular leakage.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.4510587163203927
65,"Most importantly, the NS1-induced increases in HPA-1, MMP-9, and CD138 were all inhibited in the presence of MIF inhibitors or antibodies both in vitro and in vivo, indicating that NS1-induced MIF secretion may play an important role in the pathogenesis of DENV NS1-induced glycocalyx degradation and vascular leakage.",56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.4510587163203927
66,"Comparison of NS1, HPA-1, MMP-9, CD138 and MIF serum concentrations in dengue patients",94,"DENV NS1 induces MIF, HPA-1, MMP-9 and CD138 secretion in mice.",0.25613661361046963
67,"Comparison of NS1, HPA-1, MMP-9, CD138 and MIF serum concentrations in dengue patients",94,"DENV NS1 induces MIF, HPA-1, MMP-9 and CD138 secretion in mice.",0.25613661361046963
68,"Comparison of NS1, HPA-1, MMP-9, CD138 and MIF serum concentrations in dengue patients",94,"DENV NS1 induces MIF, HPA-1, MMP-9 and CD138 secretion in mice.",0.25613661361046963
69,"Comparison of NS1, HPA-1, MMP-9, CD138 and MIF serum concentrations in dengue patients",94,"DENV NS1 induces MIF, HPA-1, MMP-9 and CD138 secretion in mice.",0.25613661361046963
70,The concentrations of NS1 and HPA-1 were increased in both dengue patients with warning signs and severe dengue patients (Fig 1A and 1B).,56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.17729183485750513
71,The concentrations of MMP-9 were also significantly elevated in dengue patients with warning signs but not in severe dengue patients (Fig 1C).,100,"In addition, the intraperitoneal injection of NS1 significantly induced HPA-1, MMP-9, and CD138 secretion, and coinjection of ISO-1 significantly abolished the secretion of MMP-9 and CD138 but not HPA-1 found by the peritoneal lavage (Fig 7C–7E).",0.23402902485859786
72,The concentrations of CD138 and MIF were significantly elevated in the serum of severe dengue patients compared to dengue patients with warning signs (Fig 1D and 1E).,100,"In addition, the intraperitoneal injection of NS1 significantly induced HPA-1, MMP-9, and CD138 secretion, and coinjection of ISO-1 significantly abolished the secretion of MMP-9 and CD138 but not HPA-1 found by the peritoneal lavage (Fig 7C–7E).",0.2020935409061773
73,The concentrations of CD138 and MIF were significantly elevated in the serum of severe dengue patients compared to dengue patients with warning signs (Fig 1D and 1E).,100,"In addition, the intraperitoneal injection of NS1 significantly induced HPA-1, MMP-9, and CD138 secretion, and coinjection of ISO-1 significantly abolished the secretion of MMP-9 and CD138 but not HPA-1 found by the peritoneal lavage (Fig 7C–7E).",0.2020935409061773
74,"To further elucidate the correlation between CD138 and the other molecules, the serum concentrations of NS1, MIF, HPA-1 and MMP-9 in severe dengue patients were plotted against the concentration of CD138 (Fig 2).",107,"In addition, we further demonstrated that both the secretion of HPA-1 and the shedding of CD138 induced by NS1-stimulation of endothelial cells are mediated by MIF.",0.2330319325064323
75,"To further elucidate the correlation between CD138 and the other molecules, the serum concentrations of NS1, MIF, HPA-1 and MMP-9 in severe dengue patients were plotted against the concentration of CD138 (Fig 2).",107,"In addition, we further demonstrated that both the secretion of HPA-1 and the shedding of CD138 induced by NS1-stimulation of endothelial cells are mediated by MIF.",0.2330319325064323
76,"To further elucidate the correlation between CD138 and the other molecules, the serum concentrations of NS1, MIF, HPA-1 and MMP-9 in severe dengue patients were plotted against the concentration of CD138 (Fig 2).",107,"In addition, we further demonstrated that both the secretion of HPA-1 and the shedding of CD138 induced by NS1-stimulation of endothelial cells are mediated by MIF.",0.2330319325064323
77,"To further elucidate the correlation between CD138 and the other molecules, the serum concentrations of NS1, MIF, HPA-1 and MMP-9 in severe dengue patients were plotted against the concentration of CD138 (Fig 2).",107,"In addition, we further demonstrated that both the secretion of HPA-1 and the shedding of CD138 induced by NS1-stimulation of endothelial cells are mediated by MIF.",0.2330319325064323
78,Only NS1 and MIF showed a positive correlation with CD138 in the sera of severe dengue patients (Fig 2A and 2B).,56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.18116533612755936
79,Only NS1 and MIF showed a positive correlation with CD138 in the sera of severe dengue patients (Fig 2A and 2B).,56,"Most importantly, both in vitro and in vivo data showed that dengue NS1-induced HPA-1 and MMP-9 secretion was MIF dependent.",0.18116533612755936
80,These results suggest that NS1 and MIF may play important roles in CD138 shedding in severe dengue patients.,55,These results suggest that MMP-9 induced by NS1-stimulated leukocytes may play an important role in endothelial glycocalyx degradation.,0.5581316665608095
81,"The correlations of the concentrations of (A) NS1, (B) MIF, (C) HPA-1 and (D) MMP-9 and CD138 in the same group of severe dengue patients were plotted.",100,"In addition, the intraperitoneal injection of NS1 significantly induced HPA-1, MMP-9, and CD138 secretion, and coinjection of ISO-1 significantly abolished the secretion of MMP-9 and CD138 but not HPA-1 found by the peritoneal lavage (Fig 7C–7E).",0.23070735591915367
82,"The correlations of the concentrations of (A) NS1, (B) MIF, (C) HPA-1 and (D) MMP-9 and CD138 in the same group of severe dengue patients were plotted.",100,"In addition, the intraperitoneal injection of NS1 significantly induced HPA-1, MMP-9, and CD138 secretion, and coinjection of ISO-1 significantly abolished the secretion of MMP-9 and CD138 but not HPA-1 found by the peritoneal lavage (Fig 7C–7E).",0.23070735591915367
83,"The correlations of the concentrations of (A) NS1, (B) MIF, (C) HPA-1 and (D) MMP-9 and CD138 in the same group of severe dengue patients were plotted.",100,"In addition, the intraperitoneal injection of NS1 significantly induced HPA-1, MMP-9, and CD138 secretion, and coinjection of ISO-1 significantly abolished the secretion of MMP-9 and CD138 but not HPA-1 found by the peritoneal lavage (Fig 7C–7E).",0.23070735591915367
84,"The correlations of the concentrations of (A) NS1, (B) MIF, (C) HPA-1 and (D) MMP-9 and CD138 in the same group of severe dengue patients were plotted.",100,"In addition, the intraperitoneal injection of NS1 significantly induced HPA-1, MMP-9, and CD138 secretion, and coinjection of ISO-1 significantly abolished the secretion of MMP-9 and CD138 but not HPA-1 found by the peritoneal lavage (Fig 7C–7E).",0.23070735591915367
85,DENV NS1-induced endothelial HPA-1 secretion leads to glycocalyx degradation and hyperpermeability and is MIF dependent,103,"Next, we showed that the DENV NS1 stimulation of endothelial cells and leukocytes could induce HPA-1 and MMP-9 secretion, respectively, causing endothelial glycocalyx degradation and hyperpermeability.",0.30791798499821904
86,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",11,"According to a previous study, NS1 can induce endothelial cells to secrete HPA-1 to disrupt the endothelial glycocalyx, and this disruption is characterized by CD138 shedding [18].",1.0
87,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",12,"To further investigate the underlying mechanism of NS1-induced HPA-1 secretion, human umbilical vein endothelial cells (HUVECs) were stimulated with NS1 for various durations.",1.0
88,The results show that CD138 was significantly increased in cell culture medium after 24 h of NS1 treatment (Fig 3A).,79,The results show that MIF increased CD138 shedding and the active HPA-1 level in HUVECs (S4A and S4B Fig).,0.29394072046375075
89,"To confirm that this effect was induced by NS1, anti-NS1 monoclonal antibody (mAb) was used to block the effect of NS1.",13,"To confirm that this effect was induced by NS1, anti-NS1 monoclonal antibody (mAb) was used to block the effect of NS1.",1.0000000000000002
90,"Anti-NS1 mAb 2E8, which can inhibit NS1-induced vascular leakage, was able to inhibit NS1-induced CD138 shedding (Fig 3B)",15,"Anti-NS1 mAb 2E8, which can inhibit NS1-induced vascular leakage, was able to inhibit NS1-induced CD138 shedding (Fig 3B) [19].",0.9614642747413623
